participant,consistency,matching,key_resp_3.corr,key_resp_3.rt,stage
fp01,i,match,1,0.3956478,baseline
fp01,i,match,1,0.334738,baseline
fp01,i,match,1,0.282346,baseline
fp01,i,match,1,0.3140145,baseline
fp01,i,match,1,0.340734,baseline
fp01,i,match,1,0.5063097,baseline
fp01,i,match,1,0.3903838,baseline
fp01,i,match,1,0.3771413,baseline
fp01,i,match,1,0.3996735,baseline
fp01,i,match,1,0.4513544,baseline
fp01,i,match,1,0.3436874,baseline
fp01,i,mismatch,1,0.2848158,adapt
fp01,i,mismatch,1,0.4805953,adapt
fp01,i,mismatch,0,0.3513824,adapt
fp01,i,mismatch,1,0.9497835,adapt
fp01,i,mismatch,1,0.4325749,adapt
fp01,i,mismatch,1,0.4075409,adapt
fp01,i,mismatch,1,0.4078651,adapt
fp01,i,mismatch,1,0.5241941,adapt
fp01,i,mismatch,1,0.4965437,adapt
fp01,i,mismatch,1,0.3439624,adapt
fp01,i,mismatch,1,0.91217,adapt
fp01,i,mismatch,1,0.9442093,adapt
fp01,i,mismatch,1,0.4588926,adapt
fp01,i,mismatch,1,0.5291515,adapt
fp01,i,mismatch,1,0.4496554,adapt
fp01,i,mismatch,1,0.4148581,adapt
fp01,i,mismatch,1,0.3709245,adapt
fp01,i,mismatch,1,0.4745643,adapt
fp01,i,mismatch,1,0.4129199,adapt
fp01,i,mismatch,1,0.696633,adapt
fp01,i,mismatch,1,0.3778542,adapt
fp01,i,mismatch,1,0.6359847,adapt
fp01,i,mismatch,1,0.4525496,adapt
fp01,i,mismatch,1,0.325605,adapt
fp01,i,mismatch,1,0.4285545,baseline
fp01,i,mismatch,1,0.3814664,baseline
fp01,i,mismatch,1,0.3524884,baseline
fp01,i,mismatch,1,0.4644248,baseline
fp01,i,mismatch,1,0.6206012,baseline
fp01,i,mismatch,1,0.4809153,baseline
fp01,i,mismatch,0,0.8645831,baseline
fp01,i,mismatch,1,0.6423619,baseline
fp01,i,mismatch,1,0.3716952,baseline
fp01,i,mismatch,1,0.5907992,baseline
fp01,i,mismatch,1,0.5890852,baseline
fp01,i,mismatch,1,0.3613959,baseline
fp01,i,mismatch,1,0.4697996,baseline
fp01,i,mismatch,1,0.4646485,baseline
fp01,i,mismatch,1,0.4986416,baseline
fp01,i,mismatch,1,0.3729569,baseline
fp01,i,mismatch,1,0.3588293,baseline
fp01,i,mismatch,1,0.5441403,baseline
fp01,i,mismatch,1,0.3555617,baseline
fp01,i,mismatch,1,0.2923822,baseline
fp01,i,mismatch,1,0.511053,baseline
fp01,i,mismatch,1,0.3752619,baseline
fp01,i,mismatch,1,0.4708909,baseline
fp01,i,mismatch,1,0.5457606,baseline
fp02,c,match,1,0.5547017,adapt
fp02,c,match,1,0.3802114,adapt
fp02,c,match,1,0.3868739,adapt
fp02,c,match,1,0.3715156,adapt
fp02,c,match,1,0.3462535,adapt
fp02,c,match,1,0.5329778,adapt
fp02,c,match,1,0.3864007,adapt
fp02,c,match,1,0.4129212,adapt
fp02,c,match,1,0.5334368,adapt
fp02,c,match,1,0.4953727,adapt
fp02,c,match,1,0.3518216,adapt
fp02,c,match,1,0.5644971,adapt
fp02,c,match,1,0.3856972,adapt
fp02,c,match,1,0.5500735,adapt
fp02,c,match,1,0.5045363,adapt
fp02,c,match,1,0.3555337,adapt
fp02,c,match,1,0.3751321,adapt
fp02,c,match,1,0.6618939,adapt
fp02,c,match,1,0.8856067,adapt
fp02,c,match,1,0.5714101,adapt
fp02,c,match,1,0.4027571,adapt
fp02,c,match,1,0.45515,adapt
fp02,c,match,1,0.4235106,adapt
fp02,c,match,1,0.3850432,adapt
fp02,c,match,1,0.3820807,baseline
fp02,c,match,1,0.6375856,baseline
fp02,c,match,1,0.4390349,baseline
fp02,c,match,1,0.6423463,baseline
fp02,c,match,1,0.4623249,baseline
fp02,c,match,1,0.7052924,baseline
fp02,c,match,1,0.4049984,baseline
fp02,c,match,1,0.428408,baseline
fp02,c,match,1,0.3516087,baseline
fp02,c,match,1,0.331841,baseline
fp02,c,match,1,0.3893275,baseline
fp02,c,match,1,0.4283193,baseline
fp02,c,match,1,0.3875387,baseline
fp02,c,match,1,0.4777687,baseline
fp02,c,match,1,0.4748411,baseline
fp02,c,match,1,0.4869394,baseline
fp02,c,match,1,0.4156057,baseline
fp02,c,match,1,0.4706425,baseline
fp02,c,match,1,0.3777823,baseline
fp02,c,match,1,0.3415972,baseline
fp02,c,match,1,0.3110384,baseline
fp02,c,match,1,0.8211805,baseline
fp02,c,match,1,0.3971819,baseline
fp02,c,match,1,0.3945607,baseline
fp02,c,mismatch,1,0.4377079,adapt
fp02,c,mismatch,1,0.3719066,adapt
fp02,c,mismatch,1,0.4180191,adapt
fp02,c,mismatch,1,0.5304914,adapt
fp02,c,mismatch,1,0.5770762,adapt
fp02,c,mismatch,1,0.473983,adapt
fp02,c,mismatch,1,0.3625984,adapt
fp02,c,mismatch,1,1.10269,adapt
fp02,c,mismatch,1,0.3911661,adapt
fp02,c,mismatch,1,0.5354701,adapt
fp02,c,mismatch,1,0.5013872,adapt
fp02,c,mismatch,1,0.6341797,adapt
fp02,c,mismatch,1,0.5462764,adapt
fp02,c,mismatch,1,0.55402,adapt
fp02,c,mismatch,1,0.4375128,adapt
fp02,c,mismatch,1,0.4342203,adapt
fp02,c,mismatch,1,0.3774075,adapt
fp02,c,mismatch,1,0.4382463,adapt
fp02,c,mismatch,1,0.5199709,adapt
fp02,c,mismatch,1,0.4071019,adapt
fp02,c,mismatch,1,0.4545383,adapt
fp02,c,mismatch,1,0.4732872,adapt
fp02,c,mismatch,1,0.553477,adapt
fp02,c,mismatch,1,1.2601674,adapt
fp02,c,mismatch,1,0.390978,baseline
fp02,c,mismatch,1,0.4127499,baseline
fp02,c,mismatch,1,0.3804262,baseline
fp02,c,mismatch,1,0.460673,baseline
fp02,c,mismatch,1,0.461658,baseline
fp02,c,mismatch,1,0.4567725,baseline
fp02,c,mismatch,1,0.4306674,baseline
fp02,c,mismatch,1,0.5383705,baseline
fp02,c,mismatch,1,0.5451568,baseline
fp02,c,mismatch,1,0.3978929,baseline
fp02,c,mismatch,1,0.3804838,baseline
fp02,c,mismatch,1,0.4436676,baseline
fp02,c,mismatch,1,0.4315688,baseline
fp02,c,mismatch,1,0.6133753,baseline
fp02,c,mismatch,1,0.6282889,baseline
fp02,c,mismatch,1,0.3999064,baseline
fp02,c,mismatch,1,0.4591279,baseline
fp02,c,mismatch,1,0.7017636,baseline
fp02,c,mismatch,1,0.480868,baseline
fp02,c,mismatch,1,0.4902125,baseline
fp02,c,mismatch,1,0.4193675,baseline
fp02,c,mismatch,1,0.5121274,baseline
fp02,c,mismatch,1,0.5543846,baseline
fp02,c,mismatch,1,0.6314693,baseline
fp02,filler,match,1,0.441694,adapt
fp02,filler,match,1,0.8046122,adapt
fp02,filler,match,1,0.8135322,adapt
fp02,filler,match,1,0.4091488,adapt
fp02,filler,match,1,0.7358455,baseline
fp02,filler,match,0,0.35156,baseline
fp02,filler,match,1,0.4038925,baseline
fp02,filler,match,1,0.389937,baseline
fp02,filler,mismatch,1,0.559487,adapt
fp02,filler,mismatch,1,0.5737211,adapt
fp02,filler,mismatch,1,0.4824111,adapt
fp02,filler,mismatch,1,0.3993544,adapt
fp02,filler,mismatch,0,0.3553708,baseline
fp02,filler,mismatch,1,0.5915202,baseline
fp02,filler,mismatch,1,0.4431709,baseline
fp02,filler,mismatch,1,0.495644,baseline
fp02,i,match,1,0.4814404,adapt
fp02,i,match,1,0.4266603,adapt
fp02,i,match,1,0.3760284,adapt
fp02,i,match,1,0.3567209,adapt
fp02,i,match,1,0.4203981,adapt
fp02,i,match,1,0.3626313,adapt
fp02,i,match,1,0.4634264,adapt
fp02,i,match,1,0.4446986,adapt
fp02,i,match,1,0.4069474,adapt
fp02,i,match,1,0.3827203,adapt
fp02,i,match,1,0.866929,adapt
fp02,i,match,1,0.4269777,adapt
fp02,i,match,1,0.3585529,adapt
fp02,i,match,1,0.4607955,adapt
fp02,i,match,1,0.3889525,adapt
fp02,i,match,1,0.3391393,adapt
fp02,i,match,1,0.4115266,adapt
fp02,i,match,1,0.6411053,adapt
fp02,i,match,1,0.3575941,adapt
fp02,i,match,1,0.532056,adapt
fp02,i,match,1,0.3382994,adapt
fp02,i,match,1,0.749607,adapt
fp02,i,match,1,0.5027895,adapt
fp02,i,match,1,0.3540917,adapt
fp02,i,match,1,0.351502,baseline
fp02,i,match,1,0.3855482,baseline
fp02,i,match,1,0.6033133,baseline
fp02,i,match,1,0.476525,baseline
fp02,i,match,1,0.4242443,baseline
fp02,i,match,1,0.3772916,baseline
fp02,i,match,1,0.3631446,baseline
fp02,i,match,1,0.5542548,baseline
fp02,i,match,1,0.6585648,baseline
fp02,i,match,1,0.3204447,baseline
fp02,i,match,1,0.3360954,baseline
fp02,i,match,1,0.3316969,baseline
fp02,i,match,1,0.4609158,baseline
fp02,i,match,1,0.3520823,baseline
fp02,i,match,1,0.4147173,baseline
fp02,i,match,1,0.4982411,baseline
fp02,i,match,1,0.3492192,baseline
fp02,i,match,1,0.4215633,baseline
fp02,i,match,1,0.4537608,baseline
fp02,i,match,1,0.4644822,baseline
fp02,i,match,1,0.5705309,baseline
fp02,i,match,1,0.380983,baseline
fp02,i,match,1,0.5970229,baseline
fp02,i,match,1,0.4041513,baseline
fp02,i,mismatch,1,0.3385418,adapt
fp02,i,mismatch,1,0.4920501,adapt
fp02,i,mismatch,1,0.5551617,adapt
fp02,i,mismatch,1,0.3637815,adapt
fp02,i,mismatch,1,0.3644007,adapt
fp02,i,mismatch,1,0.3544971,adapt
fp02,i,mismatch,1,0.4158497,adapt
fp02,i,mismatch,1,0.4153066,adapt
fp02,i,mismatch,1,0.39226,adapt
fp02,i,mismatch,1,0.3667685,adapt
fp02,i,mismatch,1,0.5306453,adapt
fp02,i,mismatch,1,0.3448316,adapt
fp02,i,mismatch,1,0.4405714,adapt
fp02,i,mismatch,1,0.7135143,adapt
fp02,i,mismatch,1,0.5530236,adapt
fp02,i,mismatch,1,0.9534496,adapt
fp02,i,mismatch,1,0.3805979,adapt
fp02,i,mismatch,1,0.4663636,adapt
fp02,i,mismatch,1,0.4084143,adapt
fp02,i,mismatch,1,0.3950961,adapt
fp02,i,mismatch,1,0.4524999,adapt
fp02,i,mismatch,1,0.3833868,adapt
fp02,i,mismatch,1,0.3876189,adapt
fp02,i,mismatch,1,0.6068305,adapt
fp02,i,mismatch,1,0.9181375,baseline
